"Name","Aliases"
"australian taxation office","ato; australian tax office"
"department of finance","dept finance"
"australian electoral commission","aec; australian electoral commision; australian electoral comission"
"act electoral commission","australian electoral commission (act); elections act"
"victorian electoral commission",
"electoral commission of queensland",
"western australian electoral commission","waec; western australian electoral commission (waec)"
"electoral commission of south australia","electoral commission of sa; sa electoral commission"
"new south wales electoral commission","nsw electoral commission"
"electoral commission of queensland","electoral commision of qld"